鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三重區,房地(土地+建物),新北市三重區正義北路１２３號十樓之一,12.99,商,,,1110124,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050823,122.94,3,2,2,有,有,22100000,179762,,0.0,0,,RPSNMLTLLHHGFGF98EA,79.43,2.42,5.14,有,0058
三重區,房地(土地+建物),新北市三重區大仁街１１號三樓,16.88,都市：其他:住宅區,,,1110226,土地2建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860317,98.78,3,2,2,有,有,14000000,141729,,0.0,0,陽台外推；其他增建；,RPPNMLKMLHHGFGF87EA,64.18,0.0,10.95,有,
永和區,房地(土地+建物)+車位,新北市永和區永平路３７２號二十六樓,19.3,住,,,1110225,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1090427,238.78,4,1,2,有,有,45100000,188877,坡道平面,35.77,0,政府機關標讓售；,RPOOMLTLLHHGFHF78EA,124.2,0.0,17.95,有,
中和區,房地(土地+建物)+車位,新北市中和區中興街２０６號十四樓之五,9.97,住,,,1101220,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,93.61,2,1,1,有,有,9200000,98280,坡道平面,20.39,0,親友、員工、共有人或其他特殊關係間之交易；,RPPQMLTLLHHGFHF09EA,46.34,2.13,1.73,有,0059
中和區,房地(土地+建物)+車位,新北市中和區中原二街３２號十四樓,40.33,住,,,1110311,土地1建物1車位1,十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,221.26,3,2,2,有,有,38880000,175721,坡道平面,0.0,0,本案土地增值稅  元由買方負責繳納,RPPNMLKMLHHGFHF97EA,110.16,2.87,15.76,有,0060
中和區,房地(土地+建物)+車位,新北市中和區中興街２１４號六樓之一,19.94,住,,,1110219,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,172.01,4,2,2,有,有,23000000,135922,坡道平面,17.51,2000000,陽台外推；其他增建；,RPSNMLKMLHHGFHF28EA,86.16,5.64,14.15,有,0061
樹林區,房地(土地+建物),新北市樹林區信義街５３號,51.0,住,,,1110215,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,59.76,3,2,1,有,無,10700000,179050,,0.0,0,,RPRNMLLMLHHGFIF38EA,59.76,0.0,0.0,無,
樹林區,房地(土地+建物)+車位,新北市樹林區復興路３６３號六樓,22.52,住,,,1110226,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820710,132.94,3,2,2,有,有,11500000,86505,坡道機械,5.76,0,,RPWNMLKMLHHGFIF78EA,90.49,10.85,9.12,有,
樹林區,房地(土地+建物),新北市樹林區太順街６２巷３弄２８號四樓,20.02,住,,,1100915,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730424,84.86,3,2,1,有,無,5350000,63045,,0.0,0,成交價535萬，拆分土地價格400萬，建物價格135萬。其他增建；,RPQOMLKMLHHGFIF28EA,71.32,0.0,13.54,無,
三峽區,房地(土地+建物)+車位,新北市三峽區中華路２０號十一樓之１,17.19,商,,,1101225,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,179.58,3,1,2,有,有,13200000,73505,坡道機械,0.0,0,,RPOOMLLMLHHGFIF18EA,110.81,0.0,18.09,有,
鶯歌區,房地(土地+建物),新北市鶯歌區鶯歌路１０６之１號十一樓,22.07,住,,,1110227,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080604,101.16999999999999,2,2,1,有,有,9230000,91233,,0.0,0,,RPRPMLLMLHHGFIF58EA,63.57,1.72,4.28,有,0062
樹林區,房地(土地+建物),新北市樹林區啟智街１５５號五樓,20.4,住,,,1110314,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710218,81.48,3,2,1,有,無,6600000,81001,,0.0,0,陽台外推；,RPVPMLLMLHHGFIF98EA,66.8,0.0,14.68,無,
中和區,土地,德光段724地號,37.3,都市：其他:道路用地,,,1110317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7414121,198770,,0.0,0,包含公共設施保留地用地；,RPPQMLLMLHHGFHF38EA,0.0,0.0,0.0,無,0063
