鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新社區,土地,新中段181地號,2901.95,,特定農業區,農牧用地,1110113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24570000,8467,,0.0,0,未登記建物；,RPSNMLRKLHHGFGB18DA,0.0,0.0,0.0,無,
神岡區,土地,建國段230地號,2183.0,,特定農業區,農牧用地,1110127,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39621450,18150,,0.0,0,賣方不負擔簽約、鑑界及買賣價金信託費用。,RPRNMLSLLHHGFDB97DA,0.0,0.0,0.0,無,
豐原區,土地,一心段968地號,164.23,住,,,1110215,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14800000,90118,,0.0,0,未登記建物；,RPRNMLTLLHHGFDB08DA,0.0,0.0,0.0,無,
大甲區,房地(土地+建物),臺中市大甲區經國路１７８８巷１２號,126.25,住,,,1110310,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0730821,117.55,3,1,2,有,無,2563139,21805,,0.0,0,,RPWNMLOKLHHGFEB08DA,117.55,0.0,0.0,無,
神岡區,房地(土地+建物)+車位,臺中市神岡區中山路４７８巷１５號二樓之１,33.1,住,,,1110105,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101123,82.19,2,2,1,有,有,6600000,80302,其他,0.0,750000,車位-一樓機械車位,RPROMLNLLHHGFDB57DA,47.78,0.0,4.59,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區上墩路１１號十四樓之１,26.09,住,,,1091030,土地2建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101027,161.05,3,2,2,有,有,13300000,92115,坡道平面,35.12,1700000,,RPTSMLTLLHHGFCB68DA,73.86,0.0,8.47,有,
后里區,房地(土地+建物),臺中市后里區大興路８５巷１６號,92.5,住,,,1110312,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100915,176.02,4,2,3,有,無,15600000,88626,,0.0,0,,RPXNMLMLLHHGFDB97DA,176.02,0.0,0.0,無,
后里區,土地,圳寮段385地號,5.01,,山坡地保育區,農牧用地,1110321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400,1078,,0.0,0,,RPSNMLLLLHHGFDB37DA,0.0,0.0,0.0,無,060
后里區,房地(土地+建物)+車位,臺中市后里區成功路５２６號三樓之２,33.39,住,,,1110301,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101230,151.16,3,2,2,有,有,9600000,69879,坡道機械,21.65,550000,預售屋、或土地及建物分件登記案件；,RPRNMLMLLHHGFDB37DA,78.09,0.0,9.97,有,
后里區,房地(土地+建物)+車位,臺中市后里區成功路５２６號四樓之２,33.39,住,,,1110307,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101230,151.16,3,2,2,有,有,9560000,69956,坡道機械,21.65,500000,預售屋、或土地及建物分件登記案件；,RPSNMLMLLHHGFDB47DA,78.09,0.0,9.97,有,
后里區,房地(土地+建物),臺中市后里區犁份路１巷５號,87.48,住,,,1110305,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0660715,75.36,3,1,2,有,無,5500000,72983,,0.0,0,未登記建物；,RPQNMLKKLHHGFDB96DA,75.36,0.0,0.0,無,
神岡區,房地(土地+建物)+車位,臺中市神岡區中山路４７８巷１５號五樓之１,33.1,住,,,1101006,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101123,79.61,2,1,1,有,有,7000000,87929,其他,0.0,750000,車位-一樓機械車位,RPUNMLKKLHHGFDB37DA,46.95,0.0,2.84,有,
后里區,房地(土地+建物),臺中市后里區大興路８５巷１號,97.88,住,,,1101026,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100915,175.89,4,2,3,有,無,17500000,99494,,0.0,0,,RPOOMLMJLHHGFDB96DA,175.89,0.0,0.0,無,
豐原區,房地(土地+建物),臺中市豐原區自強街９９巷１４號,90.0,住,,,1110226,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0660328,130.5,5,3,3,有,無,9000000,68966,,0.0,0,頂樓加蓋；其他增建；,RPPOMLMJLHHGFDB07DA,130.5,0.0,0.0,無,
豐原區,房地(土地+建物),臺中市豐原區中山路５９巷１弄３９號,69.68,住,,,1100906,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1110127,158.24,4,2,5,有,無,13780000,87083,,0.0,0,,RPTOMLNJLHHGFDB57DA,158.24,0.0,0.0,無,
豐原區,房地(土地+建物),臺中市豐原區豐陽路１７６號,157.85,商,,,1110110,土地3建物1車位0,全,五層,透天厝,商業用,鋼筋混凝土造,0870323,884.14,5,5,5,有,無,44500000,50331,,0.0,0,,RPTNMLQKJHHGFDB67DA,884.14,0.0,0.0,有,
神岡區,土地,新和段127地號,795.69,,一般農業區,農牧用地,1110126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,27649,,0.0,0,,RPPNMLSJKHHGFDB47DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物),臺中市西屯區福聯街１５巷９號七樓之１７,4.35,住,,,1110313,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,24.16,0,0,0,無,有,1270000,52566,,0.0,0,,RPUOMLKMLHHGFCB57DA,14.07,0.0,1.38,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段１６６之１００號十八樓之５,11.88,住,,,1110218,土地1建物1車位1,十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,116.46000000000001,2,2,1,有,有,12100000,103898,坡道機械,19.87,0,,RPVOMLKMLHHGFCB67DA,55.67,2.63,5.62,有,
