鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號十二樓之９,4.34,商,,,1090720,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.05,2,1,1,有,有,5510000,82177,,0.0,0,,RPUOMLPKJHHGFBE87DA,37.54,1.56,3.72,有,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號四樓之９,4.34,商,,,1081117,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.05,2,1,1,有,有,4990000,74422,,0.0,0,,RPPPMLPKJHHGFBE47DA,37.54,1.56,3.72,有,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號十三樓之９,4.34,商,,,1090714,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.05,2,1,1,有,有,5150000,76808,,0.0,0,,RPUPMLSJJHHGFBE18DA,37.54,1.56,3.72,有,
新興區,房地(土地+建物)+車位,高雄市新興區復興二路２１７號八樓之７,6.51,商,,,1081010,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,100.96000000000001,2,1,2,有,有,7630000,69063,其他,12.2,1500000,,RPPNMLKKKHHGFBE86DA,49.7,2.83,4.14,有,
鹽埕區,土地,府北段五小段133地號,20.0,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3080000,154000,,0.0,0,協議價購；,RPWOMLLJMHHGFAE77DA,0.0,0.0,0.0,無,140
鹽埕區,土地,府北段五小段133地號,20.0,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3080000,154000,,0.0,0,協議價購；,RPXOMLLJMHHGFAE87DA,0.0,0.0,0.0,無,140
鹽埕區,土地,府北段五小段134地號,87.0,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13398000,154000,,0.0,0,協議價購；,RPOPMLLJMHHGFAE07DA,0.0,0.0,0.0,無,
鹽埕區,土地,府北段五小段135地號,29.75,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4581500,154000,,0.0,0,協議價購；,RPPPMLLJMHHGFAE17DA,0.0,0.0,0.0,無,145
苓雅區,房地(土地+建物),高雄市苓雅區光華一路１４８之７６號三樓之２,19.0,都市：其他:第三種特定商業專用區,,,1110227,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0700318,62.59,3,2,2,有,無,6200000,99057,,0.0,0,含傢俱設備費；,RPRQMLOJLHHGFBE77DA,62.59,0.0,0.0,無,146
苓雅區,房地(土地+建物)+車位,高雄市苓雅區憲政路１６５號二樓,24.71,住,,,1110208,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100902,183.51,3,2,2,有,有,16600000,90189,坡道平面,19.41,1800000,,RPTOMLSJLHHGFBE18DA,88.88,6.14,9.59,有,
