鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓,10.96,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,200.01,2,0,1,有,有,81855775,450414,坡道平面,26.49,3700000,1.總價含工程加帳＄5775元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPWOMLOJLHHGFCA77DA,102.29,0.0,7.61,有,
中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓之１,6.98,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,132.29000000000002,0,2,1,有,有,50650000,443762,坡道平面,26.49,3700000,1.總價不含面積找補款。預售屋、或土地及建物分件登記案件；,SPWOMLOJLHHGFCA87DA,65.2,0.0,0.0,有,
中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓之２,9.93,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,185.73000000000002,2,0,2,有,有,77500000,461567,坡道平面,26.49,4000000,1.總價不含面積找補款。預售屋、或土地及建物分件登記案件；,TPWOMLOJLHHGFCA97DA,92.77,0.0,8.73,有,
中山區,房地(土地+建物)+車位,臺北市中山區中山北路三段５３號二樓之２,14.23,商,,,1110316,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101013,161.8,2,2,2,有,有,37210000,266756,坡道平面,34.68,3300000,,RPPQMLQKLHHGFCA57DA,74.19,0.0,10.15,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段３６８巷１６號二樓,55.76,工,,,1110224,土地1建物1車位2,二層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1000408,357.31,0,0,0,無,有,37880000,106014,坡道平面,85.14,0,其他增建；,RPOQMLPLLHHGFCA47DA,155.73,7.81,13.52,有,
中山區,土地,吉林段二小段508-3地號,177.98,都市：其他:道路用地(公共設施用地)。60/8/19,,,1110322,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12604128,70818,,0.0,0,包含公共設施保留地用地；,RPQNMLTLLHHGFCA77DA,0.0,0.0,0.0,無,086
內湖區,房地(土地+建物),臺北市內湖區星雲街１６８巷４３號十樓之３,8.4,住,,,1110322,土地1建物1車位0,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,44.37,2,1,1,有,有,8000000,180302,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWRMLPLLHHGFCA38DA,26.43,2.06,3.0,有,087
內湖區,房地(土地+建物),臺北市內湖區江南街７５號三樓,30.23,住,,,1110220,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770204,98.25,3,2,2,有,無,19000000,193384,,0.0,0,,RPVNMLQLLHHGFCA97DA,80.41,0.42,7.73,無,
中山區,房地(土地+建物),臺北市中山區新生北路二段１２３巷３５號二樓,30.67,住,,,1110108,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0551110,61.65,3,1,1,有,無,11750000,190592,,0.0,0,其他增建；,RPSQMLMLLHHGFCA57DA,61.65,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區敬業三路１６２巷１９６號四樓,47.09,住,,,1110212,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,155.5,3,2,2,有,有,32100000,206431,,0.0,0,陽台外推；其他增建；,RPUQMLPKLHHGFCA97DA,77.66,0.0,8.1,有,088
