,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1350,仁武區,房地(土地+建物)+車位,高雄市仁武區大豐街１７０號十一樓,21.74,住,,,1110215,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031230,114.45,2,2,1,有,有,7800000,68152,坡道機械,17.61,0,,RPPNMLQKKHHGFIE18DA,53.33,5.06,4.56,有,63.0
1371,大寮區,房地(土地+建物),高雄市大寮區內厝路３０１號十三樓,21.64,住,,,1110217,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830205,138.32,3,2,2,有,有,4670000,33762,,0.0,0,,RPTOMLSLLHHGFLE76DA,90.31,0.0,12.21,有,67.0
1379,左營區,房地(土地+建物)+車位,高雄市左營區文強路２３３號九樓之２,14.51,住,,,1110228,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,0930701,121.66999999999999,2,2,2,有,有,10380000,89579,坡道平面,22.54,1500000,陽台外推；,RPSOMLKMLHHGFEE97EA,61.36,2.8,7.78,有,71.0
1394,楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠梓路２６９巷２３號十八樓,10.43,住,,,1110312,土地1建物1車位1,十八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090904,128.02,2,2,1,有,有,9580000,74832,坡道平面,32.49,0,,RPQOMLKMLHHGFEE77EA,56.71,0.0,6.33,有,75.0
1428,茄萣區,房地(土地+建物),高雄市茄萣區建中街６６號５樓之３,9.2,住,,,1110308,土地3建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841230,100.03,2,2,1,有,無,3000000,29991,,0.0,0,,RPSNMLLJMHHGFJE18DA,69.25,0.0,10.89,有,
1435,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２９１號三樓,25.05,住,,,1101116,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,131.97,2,2,1,有,有,8560000,72906,坡道平面,32.39,1300000,,RPVQMLTLLHHGFIE96DA,58.73,0.0,6.91,有,
1436,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２９１號九樓,25.05,住,,,1101218,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,131.97,2,2,1,有,有,9300000,76823,坡道平面,32.39,1650000,,RPXQMLTLLHHGFIE17DA,58.73,0.0,6.91,有,
1437,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２８１號七樓,35.46,住,,,1101105,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,173.21,3,2,2,有,有,12300000,75628,坡道平面,32.39,1650000,,RPORMLTLLHHGFIE98DA,84.73,0.0,7.92,有,
1438,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２８１號十樓,35.46,住,,,1101109,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,173.21,3,2,2,有,有,12550000,77404,坡道平面,32.39,1650000,,RPPRMLTLLHHGFIE09DA,84.73,0.0,7.92,有,
1440,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２５３號十一樓,35.0,住,,,1110108,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,171.25,3,2,2,有,有,13300000,83897,坡道平面,32.39,1650000,,RPTRMLTLLHHGFIE86DA,83.41,0.0,7.97,有,
1441,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６５號十一樓,34.92,住,,,1101124,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,170.99,3,2,2,有,有,12120000,75541,坡道平面,32.39,1650000,,RPURMLTLLHHGFIE96DA,83.41,0.0,7.88,有,
1442,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６１號十一樓,24.22,住,,,1110111,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,128.65,2,2,1,有,有,10350000,90380,坡道平面,32.39,1650000,,RPWRMLTLLHHGFIE17DA,56.76,0.0,6.59,有,
1443,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６１號十五樓,24.22,住,,,1110111,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,128.65,2,2,1,有,有,10590000,91315,坡道平面,32.39,1800000,,RPXRMLTLLHHGFIE27DA,56.76,0.0,6.59,有,
1444,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２５９號十一樓,24.83,住,,,1101230,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,131.03,2,2,1,有,有,10300000,87693,坡道平面,32.39,1650000,,RPOSMLTLLHHGFIE09DA,56.97,0.0,7.9,有,
1445,仁武區,房地(土地+建物)+車位,高雄市仁武區仁孝路４０７巷４６號九樓,19.26,住,,,1110309,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100519,124.46,0,0,0,無,有,9600000,77133,坡道平面,26.37,0,,RPRNMLLMLHHGFIE18DA,50.64,3.21,9.95,有,
1449,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６５號七樓,34.92,住,,,1101123,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,170.99,3,2,2,有,有,11800000,73232,坡道平面,32.39,1650000,,RPUNMLSLLHHGFIE09DA,83.41,0.0,7.88,有,
1450,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２９１號八樓,25.05,住,,,1101125,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,131.97,2,2,1,有,有,9250000,76321,坡道平面,32.39,1650000,,RPQQMLTLLHHGFIE09DA,58.73,0.0,6.91,有,
1453,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６７號五樓,24.22,住,,,1101214,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,128.65,2,2,1,有,有,8420000,70330,坡道平面,32.39,1650000,,RPXNMLSLLHHGFIE76DA,56.76,0.0,6.59,有,
1454,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２９１號二樓,25.05,住,,,1101223,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,131.97,2,2,1,有,有,9660000,80438,坡道平面,32.39,1650000,,RPOOMLSLLHHGFIE58DA,58.73,0.0,6.91,有,
1455,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２７５號十五樓,35.0,住,,,1101110,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,171.53,3,2,2,有,有,12550000,77260,坡道平面,32.39,1800000,,RPPOMLSLLHHGFIE68DA,83.41,0.0,8.08,有,
1456,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２８１號十三樓,35.46,住,,,1101109,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,173.21,3,2,2,有,有,12760000,77830,坡道平面,32.39,1800000,,RPROMLSLLHHGFIE88DA,84.73,0.0,7.92,有,
1457,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６１號十三樓,24.22,住,,,1110113,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,128.65,2,2,1,有,有,10530000,90692,坡道平面,32.39,1800000,,RPSOMLSLLHHGFIE98DA,56.76,0.0,6.59,有,
1458,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２５３號十樓,35.0,住,,,1101117,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,171.25,3,2,2,有,有,12720000,78640,坡道平面,32.39,1800000,,RPTOMLSLLHHGFIE09DA,83.41,0.0,7.97,有,
1459,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２６７號十五樓,24.22,住,,,1101130,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,128.65,2,2,1,有,有,9250000,77395,坡道平面,32.39,1800000,,RPUOMLSLLHHGFIE56DA,56.76,0.0,6.59,有,
1460,仁武區,房地(土地+建物)+車位,高雄市仁武區霞海路２８９號十三樓,25.74,住,,,1101105,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100616,134.59,2,2,1,有,有,9580000,76125,坡道平面,32.39,1800000,,RPRQMLSKKHHGFIE88DA,59.78,0.0,7.45,有,
1462,鳳山區,房地(土地+建物)+車位,高雄市鳳山區八德路３７８號十二樓,14.5,商,,,1110301,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1010901,158.24,3,2,2,有,有,12700000,80258,坡道平面,20.45,0,,RPPNMLQLLHHGFGE18DA,73.75,3.86,10.91,有,93.0
1474,鳳山區,房地(土地+建物),高雄市鳳山區建國路三段２７３號二十一樓,9.38,住,,,1110318,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830827,129.72,3,2,2,有,有,6800000,52421,,0.0,0,含傢俱設備費；,RPOOMLPLLHHGFGE08DA,100.91,1.63,3.15,有,
1494,楠梓區,房地(土地+建物)+車位,高雄市楠梓區常興街７３號十四樓,22.11,都市：其他:第二種特定商業專用區,,,1110208,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1031110,160.57999999999998,3,2,2,有,有,8600000,53556,坡道平面,17.89,0,,RPOOMLKMLHHGFEE47DA,80.68,4.95,10.01,有,105.0
1495,左營區,建物,高雄市左營區富民路４３５號四樓之１１,0.0,,,,1110226,土地0建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,0870921,136.57,3,2,2,有,有,6180000,45252,,0.0,0,,RPTOMLKMLHHGFEE97DA,87.85,0.0,12.16,有,
1496,左營區,房地(土地+建物)+車位,高雄市左營區榮德街４３７號十一樓之１,10.04,住,,,1110304,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960808,103.7,3,2,2,有,有,8000000,77146,坡道機械,6.04,0,,RPVOMLKMLHHGFEE18DA,59.54,3.64,8.11,有,
1497,楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２９６號二樓,19.34,住,,,1101101,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100513,139.5,3,2,2,有,有,10070000,78710,坡道平面,31.89,1600000,,RPWOMLKMLHHGFEE28DA,65.58,0.0,3.53,有,
1498,楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２９８號二樓,22.52,住,,,1101002,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100513,164.35000000000002,3,2,2,有,有,11800000,76249,坡道平面,31.89,1700000,,RPXOMLKMLHHGFEE38DA,81.54,0.0,3.52,有,
1499,楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２７６號十一樓,15.82,住,,,1110218,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100513,112.36,2,1,1,有,有,7580000,74400,坡道平面,30.64,1500000,,RPOPMLKMLHHGFEE57DA,49.05,0.0,3.46,有,
1504,楠梓區,房地(土地+建物),高雄市楠梓區秀群路４９９巷７弄２８號十二樓,7.21,商,,,1110222,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,92.28,2,2,1,有,有,6680000,72388,,0.0,0,含傢俱設備費；,RPVSMLOLLHHGFEE88DA,49.15,2.33,9.81,有,106.0
1505,左營區,房地(土地+建物),高雄市左營區安吉街２５１號四樓之２,6.25,商,,,1110228,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951128,69.96000000000001,2,2,1,有,有,6000000,85763,,0.0,0,含傢俱設備費；,RPSQMLMLLHHGFEE18DA,44.4,0.0,5.59,有,
1506,左營區,房地(土地+建物),高雄市左營區民族一路１１８８號八樓之５,6.95,住,,,1110228,土地1建物1車位0,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1081204,76.58,2,2,1,有,有,7180000,93758,,0.0,0,含裝潢費；含傢俱設備費；,RPSRMLMLLHHGFEE28DA,44.69,1.82,2.64,有,107.0
1507,左營區,房地(土地+建物),高雄市左營區孟子路６５７號四樓之２,11.5,商,,,1110228,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950706,116.29,3,2,2,有,有,9500000,81692,,0.0,0,含傢俱設備費；,RPORMLOLLHHGFEE08DA,71.37,0.58,10.06,有,
1509,楠梓區,房地(土地+建物)+車位,高雄市楠梓區援中路９９２號十二樓,15.23,住,,,1080421,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,126.34,2,2,1,有,有,5550000,43929,坡道平面,27.42,0,預售屋、或土地及建物分件登記案件；,RPSUMLNLLHHGFEE68DA,53.26,3.87,6.01,有,
1510,楠梓區,房地(土地+建物)+車位,高雄市楠梓區援中路９８８號四樓,17.8,住,,,1080819,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,144.32999999999998,2,2,2,有,有,5960000,41294,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPVUMLNLLHHGFEE98DA,62.24,3.89,7.69,有,
1514,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街３５號十一樓,21.46,住,,,1090301,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,169.01999999999998,3,2,2,有,有,7900000,46740,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPVNMLTKLHHGFEE78DA,74.97,3.18,11.48,有,
1515,楠梓區,房地(土地+建物)+車位,高雄市楠梓區援中路９９２號十一樓,15.23,住,,,1080324,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,127.65,2,2,1,有,有,5500000,43087,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPWNMLTKLHHGFEE88DA,53.26,3.87,6.01,有,
1517,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街３３號二樓,21.46,住,,,1091124,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,169.34,3,2,2,有,有,7680000,45353,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPOOMLSKLHHGFEE08DA,74.97,3.5,11.48,有,
1518,楠梓區,房地(土地+建物)+車位,高雄市楠梓區援中路９８８號七樓,17.8,住,,,1080601,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,144.32999999999998,1,2,2,有,有,6150000,42611,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPWUMLRKLHHGFEE76DA,62.24,3.89,7.69,有,
1519,左營區,房地(土地+建物)+車位,高雄市左營區高鐵路６８０號十三樓,12.87,住,,,1110128,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861215,131.21,3,2,2,有,有,8400000,64020,坡道機械,8.5,0,含裝潢費；含傢俱設備費；,RPPVMLRKLHHGFEE78DA,78.8,0.0,13.56,有,
1520,左營區,房地(土地+建物),高雄市左營區保靖街５３號十四樓之５,6.21,商,,,1110211,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,85.42999999999999,2,2,1,有,有,9200000,107691,,0.0,0,含裝潢費；含傢俱設備費；,RPOOMLRKLHHGFEE97DA,49.07,1.39,4.95,有,110.0
1521,楠梓區,房地(土地+建物),高雄市楠梓區援中路９９８號七樓,14.96,住,,,1080404,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,99.41,2,2,1,有,有,4500000,45267,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQPMLRKLHHGFEE28DA,52.19,4.23,7.21,有,
1522,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街２９號十二樓,23.01,住,,,1080708,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,184.91,4,2,2,有,有,8680000,46942,坡道平面,29.77,0,預售屋、或土地及建物分件登記案件；,RPTPMLRKLHHGFEE58DA,80.2,1.48,16.79,有,
1523,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街２７號三樓,21.46,住,,,1090926,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,166.16,3,2,2,有,有,7590000,45679,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPUPMLRKLHHGFEE68DA,74.97,2.65,9.93,有,
1524,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街１５號九樓,15.3,住,,,1080629,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,131.07999999999998,1,2,1,有,有,5420000,41349,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPTOMLQKLHHGFEE38DA,53.32,3.89,8.06,有,
1525,楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二街２７號十一樓,21.46,住,,,1081016,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101213,166.16,3,2,2,有,有,7640000,45980,坡道平面,28.73,0,預售屋、或土地及建物分件登記案件；,RPWOMLQKLHHGFEE68DA,74.97,2.65,9.93,有,
1526,左營區,房地(土地+建物)+車位,高雄市左營區文天路１２３號十四樓之１,7.17,商,,,1110223,土地1建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,89.86,2,2,1,有,有,5850000,65101,坡道機械,0.0,0,陽台外推；,RPWOMLPKLHHGFEE58DA,44.12,0.0,15.45,有,111.0
1528,楠梓區,房地(土地+建物),高雄市楠梓區清豐二路３０６巷３０號十樓,14.68,住,,,1110216,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940818,112.01,3,2,2,有,有,8000000,71422,,0.0,0,陽台外推；,RPPQMLLLKHHGFEE67DA,69.49,3.16,8.88,有,112.0
1529,楠梓區,房地(土地+建物)+車位,高雄市楠梓區秀群路４９９巷７弄１號九樓,9.22,商,,,1110306,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,123.67000000000002,3,2,2,有,有,9300000,75200,坡道機械,8.26,0,陽台外推；,RPTOMLSJLHHGFEE48DA,63.07,3.15,9.93,有,113.0
1530,三民區,房地(土地+建物)+車位,高雄市三民區鼎力路１６８號二樓之２,11.53,商,,,1110302,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031124,134.13,3,2,2,有,有,10380000,77388,坡道機械,11.71,0,含傢俱設備費；,RPWOMLTLLHHGFDE98DA,71.51,1.84,7.03,有,114.0
1531,三民區,房地(土地+建物)+車位,高雄市三民區力行路２４６號十一樓之２,17.71,住,,,1110313,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931111,143.61,3,2,2,有,有,10300000,71722,坡道平面,16.03,0,,RPVPMLTLLHHGFDE98DA,75.35,1.05,11.87,有,
1532,楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路１０號十五樓,26.93,住,,,1110119,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1040216,158.41,3,2,2,有,有,11680000,73733,坡道平面,16.02,0,,RPUNMLLJLHHGFEE77DA,80.81,1.61,12.02,有,115.0
1533,左營區,房地(土地+建物),高雄市左營區翠峰路２號四樓,22.51,住,,,1110301,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841013,135.25,3,2,2,有,有,6200000,45841,,0.0,0,其他增建；,RPVRMLLJLHHGFEE28DA,88.75,0.0,12.44,有,116.0
1535,三民區,房地(土地+建物)+車位,高雄市三民區民族一路５４３巷２８號八樓,23.15,住,,,1110220,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851210,203.48999999999998,4,2,2,有,有,13050000,64131,坡道平面,0.0,0,,RPUOMLKMLHHGFDE97DA,121.67,3.17,16.14,有,
1537,三民區,房地(土地+建物),高雄市三民區大豐二路３５３號三樓之１,10.4,商,,,1110218,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870106,150.38,4,2,2,有,有,7350000,48876,,0.0,0,陽台外推；,RPPNMLLMLHHGFDE47DA,109.87,0.0,2.74,有,117.0
1538,三民區,房地(土地+建物),高雄市三民區民族一路７０２之２號七樓之１,6.65,住,,,1110303,土地1建物1車位0,七層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,80.13,2,2,1,有,有,4200000,52415,,0.0,0,陽台外推；,RPXOMLSLLHHGFDE98DA,58.99,0.0,8.12,有,
1544,三民區,房地(土地+建物)+車位,高雄市三民區河北二路１１２之１５號十一樓,25.02,都市：其他:第二種特定商業專用區,,,1110223,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,154.85000000000002,3,2,2,有,有,11800000,76203,坡道平面,28.84,0,含裝潢費；含傢俱設備費；,RPOPMLLLLHHGFDE47DA,86.78,0.0,10.4,有,
1546,三民區,房地(土地+建物)+車位,高雄市三民區民族一路５４３巷８號八樓之１,18.58,住,,,1110215,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031217,161.83,3,2,2,有,有,14200000,87746,坡道平面,25.4,0,含裝潢費；含傢俱設備費；,RPVOMLKKLHHGFDE87DA,77.46,0.0,11.22,有,119.0
1555,前鎮區,建物,高雄市前鎮區廣西路２０７號十一樓之３,0.0,,,,1101023,土地0建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6200000,52578,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值186萬元地上權房屋；,RPWSMLQKKHHGFCE78DA,55.85,5.27,2.92,有,
1556,前鎮區,建物,高雄市前鎮區廣西路２０７號十三樓之３,0.0,,,,1100915,土地0建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6280000,53395,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值188萬元地上權房屋；,RPXSMLQKKHHGFCE88DA,55.85,5.27,2.92,有,
1557,前鎮區,建物,高雄市前鎮區廣西路２０３號二樓之３,0.0,,,,1101001,土地0建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,94.72,2,2,1,有,有,4570000,48247,,0.0,0,房地交易總價內含地上權權利價值137萬元轉讓日期:111.1.4，親屬間轉讓，轉讓金額為457萬元地上權房屋；,RPPOMLRKKHHGFCE77DA,55.85,2.04,2.92,有,
1558,前鎮區,建物,高雄市前鎮區廣西路２０１號十五樓之３,0.0,,,,1101106,土地0建物1車位2,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,147.66000000000003,2,2,1,有,有,7350000,52583,坡道平面,49.72,2200000,房地交易總價內含地上權權利價值221萬元地上權房屋；,RPROMLRKKHHGFCE97DA,55.85,5.27,2.92,有,
1559,前鎮區,建物,高雄市前鎮區廣西路２０９號五樓之２,0.0,,,,1100922,土地0建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7080000,50187,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值212萬元地上權房屋；,RPUPMLRKKHHGFCE38DA,70.97,2.42,3.5,有,
1560,前鎮區,建物,高雄市前鎮區廣西路２０３號,0.0,,,,1101106,土地0建物1車位1,一層，夾層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,176.93,0,0,0,無,有,16450000,99625,坡道平面,24.86,1300000,房地交易總價內含地上權權利價值494萬元含租約；地上權房屋；,RPQNMLTKKHHGFCE97DA,112.92,0.0,0.0,有,
1561,前鎮區,建物,高雄市前鎮區廣西路２０５號十樓之３,0.0,,,,1100913,土地0建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6200000,52067,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值186萬元地上權房屋；,RPRNMLTKKHHGFCE08DA,55.85,5.27,2.92,有,
1562,前鎮區,房地(土地+建物),高雄市前鎮區一心一路４００之１號八樓,25.59,住,,,1110213,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850117,159.66,4,2,2,有,有,7850000,49167,,0.0,0,,RPVNMLMLKHHGFCE87DA,101.49,0.0,13.35,有,
1563,前鎮區,建物,高雄市前鎮區廣西路２０５號十一樓之２,0.0,,,,1101008,土地0建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,6830000,47690,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值205萬元地上權房屋；,RPXQMLQKKHHGFCE68DA,70.97,2.42,3.5,有,
1564,前鎮區,建物,高雄市前鎮區廣西路２０３號十六樓之２,0.0,,,,1101127,土地0建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7320000,51769,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值220萬元地上權房屋；,RPORMLQKKHHGFCE87DA,70.97,2.42,3.5,有,
1565,前鎮區,建物,高雄市前鎮區廣西路２０１號十三樓之３,0.0,,,,1101106,土地0建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,122.81,2,2,1,有,有,6200000,52067,坡道平面,24.86,1100000,房地交易總價內含地上權權利價值186萬元地上權房屋；,RPUQMLQKKHHGFCE38DA,55.85,5.27,2.92,有,
1566,前鎮區,建物,高雄市前鎮區廣西路２０７號三樓之２,0.0,,,,1101024,土地0建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070620,145.01,3,2,2,有,有,7180000,51020,坡道平面,24.86,1050000,房地交易總價內含地上權權利價值215萬元地上權房屋；,RPXRMLQKKHHGFCE78DA,70.97,2.42,3.5,有,
