,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
3311,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２９２號十四樓,12.5,住,,,1091010,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,123.53999999999999,2,2,1,有,有,8750000,70568,坡道平面,26.47,1900000,預售屋、或土地及建物分件登記案件；,RPVOMLNJLHHGFHH78DA,58.51,0.0,7.62,有,
3312,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３２０號三樓,11.31,住,,,1081028,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,106.05,2,2,1,有,有,6930000,67425,坡道機械,18.1,1000000,預售屋、或土地及建物分件登記案件；,RPVNMLQKKHHGFHH98DA,54.87,0.74,4.32,有,
3313,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３０８號二樓,15.86,住,,,1100805,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,141.08,3,2,2,有,有,9380000,69547,坡道機械,17.71,800000,預售屋、或土地及建物分件登記案件；,RPRNMLNLKHHGFHH38DA,76.24,0.0,7.82,有,
3314,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３０８號十五樓,15.86,住,,,1100927,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,149.84,3,2,2,有,有,11300000,76194,坡道平面,26.47,1900000,預售屋、或土地及建物分件登記案件；,RPUNMLNLKHHGFHH68DA,76.24,0.0,7.82,有,
3315,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３０２號八樓,12.23,住,,,1081101,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,121.7,2,2,1,有,有,8230000,67521,坡道平面,26.47,1800000,預售屋、或土地及建物分件登記案件；,RPROMLNLKHHGFHH48DA,56.87,1.4,6.6,有,
3316,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３０２號十一樓,12.23,住,,,1090315,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,121.7,2,2,1,有,有,8190000,68151,坡道平面,26.47,1700000,預售屋、或土地及建物分件登記案件；,RPSOMLNLKHHGFHH58DA,56.87,1.4,6.6,有,
3317,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３００號三樓,11.17,住,,,1071201,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,113.27000000000001,2,2,1,有,有,7350000,68548,坡道平面,26.47,1400000,預售屋、或土地及建物分件登記案件；,RPXOMLNLKHHGFHH09DA,49.85,0.99,8.33,有,
3318,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３００號四樓,11.17,住,,,1071201,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,113.27000000000001,2,2,1,有,有,7450000,69700,坡道平面,26.47,1400000,預售屋、或土地及建物分件登記案件；,RPOPMLNLKHHGFHH28DA,49.85,0.99,8.33,有,
3319,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３００號五樓,11.17,住,,,1071208,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,113.27000000000001,2,2,1,有,有,7280000,66590,坡道平面,26.47,1500000,預售屋、或土地及建物分件登記案件；,RPPPMLNLKHHGFHH38DA,49.85,0.99,8.33,有,
3320,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３００號九樓,11.17,住,,,1080505,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,113.27000000000001,2,2,1,有,有,7250000,67396,坡道平面,26.47,1400000,預售屋、或土地及建物分件登記案件；,RPRPMLNLKHHGFHH58DA,49.85,0.99,8.33,有,
3321,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２９８號五樓,11.49,住,,,1090718,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,107.39,2,2,1,有,有,6740000,64285,坡道機械,18.1,1000000,預售屋、或土地及建物分件登記案件；,RPUPMLNLKHHGFHH88DA,52.03,1.71,7.14,有,
3322,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３２２號五樓,17.42,住,,,1081115,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,161.64,3,2,2,有,有,11150000,69172,坡道平面,26.47,1800000,預售屋、或土地及建物分件登記案件；,RPTQMLNLKHHGFHH88DA,80.53,1.5,10.13,有,
3323,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３２２號十樓,17.42,住,,,1090712,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,161.64,3,2,2,有,有,11300000,69542,坡道平面,26.47,1900000,預售屋、或土地及建物分件登記案件；,RPUQMLNLKHHGFHH98DA,80.53,1.5,10.13,有,
3324,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３１８號四樓,16.27,住,,,1100109,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,155.59,3,2,2,有,有,10220000,65032,坡道平面,29.19,2000000,預售屋、或土地及建物分件登記案件；,RPPRMLNLKHHGFHH58DA,76.56,0.0,9.55,有,
3325,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路３１８號十樓,16.27,住,,,1100910,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,144.11,3,2,2,有,有,10500000,76741,坡道機械,17.71,800000,預售屋、或土地及建物分件登記案件；,RPTRMLNLKHHGFHH98DA,76.56,0.0,9.55,有,
3326,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２８０號四樓,11.31,住,,,1071208,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,113.25999999999999,2,2,1,有,有,7400000,68213,坡道平面,25.3,1400000,預售屋、或土地及建物分件登記案件；,RPUSMLNLKHHGFHH56DA,54.87,0.74,4.32,有,
3327,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２７６號三樓,16.27,住,,,1100417,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,144.11,3,2,2,有,有,9500000,67247,坡道機械,17.71,1000000,預售屋、或土地及建物分件登記案件；,RPVSMLNLKHHGFHH66DA,76.56,0.0,9.55,有,
3328,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２９８號二樓,11.49,住,,,1080409,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,115.76,2,2,1,有,有,7150000,64397,坡道平面,26.47,1400000,預售屋、或土地及建物分件登記案件；,RPROMLOLKHHGFHH58DA,52.03,1.71,7.14,有,
3331,桃園區,房地(土地+建物)+車位,桃園市桃園區青溪一路１００巷６８號六樓,21.64,住,,,1090302,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,163.62,3,2,2,有,有,11750000,78615,坡道平面,34.51,1600000,預售屋、或土地及建物分件登記案件；,RPVPMLNKJHHGFAH08DA,76.79,0.0,11.05,有,
3332,桃園區,房地(土地+建物)+車位,桃園市桃園區青溪一路１００巷６８號十二樓,21.64,住,,,1090504,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,163.62,3,2,2,有,有,11850000,79390,坡道平面,34.51,1600000,110.08.26 原價轉讓預售屋、或土地及建物分件登記案件；,RPVQMLNKJHHGFAH18DA,76.79,0.0,11.05,有,
3333,桃園區,房地(土地+建物)+車位,桃園市桃園區青溪一路１００巷６６號六樓,21.67,住,,,1090224,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,163.69,3,2,2,有,有,12000000,80508,坡道平面,34.51,1600000,110.08.15 原價轉讓預售屋、或土地及建物分件登記案件；,RPSRMLNKJHHGFAH97DA,76.86,0.0,11.05,有,
3334,桃園區,房地(土地+建物)+車位,桃園市桃園區青溪一路１００巷５６號六樓,21.67,住,,,1090302,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,162.51,3,2,2,有,有,11570000,79114,坡道平面,33.33,1350000,預售屋、或土地及建物分件登記案件；,RPUQMLRKJHHGFAH48DA,76.86,0.0,11.05,有,
3335,桃園區,房地(土地+建物),桃園市桃園區民有東路２巷２６號十一樓,22.04,都市：其他:住宅區,,,1110216,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931127,80.61,2,2,1,有,有,6480000,80387,,0.0,0,,RPUQMLOLLHHGFAH48DA,56.37,0.9,4.7,有,78.0
3336,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路３９３巷５號十五樓,10.77,都市：其他:住宅區,,,1110222,土地1建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831017,150.68,3,2,2,有,有,9800000,65038,坡道平面,0.0,0,陽台外推；,RPOPMLNLLHHGFAH67DA,72.72,2.88,13.52,有,
3337,桃園區,房地(土地+建物)+車位,桃園市桃園區同德六街１２７號七樓,63.76,都市：其他:住宅區,,,1110309,土地1建物1車位2,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990526,483.02,3,2,5,有,有,43500000,90058,坡道平面,0.0,0,,RPSPMLNLLHHGFAH08DA,211.53,18.11,20.76,有,
3339,桃園區,房地(土地+建物)+車位,桃園市桃園區中正路１３４０號二十樓,30.25,都市：其他:住宅區,,,1110224,土地1建物1車位2,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911224,364.97,4,2,4,有,有,36000000,98638,坡道平面,0.0,0,,RPWOMLKKLHHGFAH97DA,207.54,2.28,26.43,有,
